categoria,produto,preco,descricao,foto
GULOSEIMAS,PIRULITO BIG BIG TUTTI FRUTT C/CHICLETE,12,500G C/50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQP67NNhcBqjmaXnRVhiGaoOzTOMkOCrMLtMRbIzGO7KQ&s=10
GULOSEIMAS,BALA BUTTER TOFFE TORTA MOUSSE MARACUJA                                ,"18,9",400GR,https://images.tcdn.com.br/img/img_prod/1176430/bala_butter_toffees_mousse_de_maracuj_400g_arcor_1_20250818110254_d50c87dcb848.png
GULOSEIMAS,BALA BUTTER TOFFE LEITE        ,"18,9",400GR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC2dALL-iF7J5pAye2G699x4rPfyIqHvvhICOCGXCrqQ&s=10
GULOSEIMAS,BALA BUTTER TOFFE CHOCOLATE                 ,"18,9",400GR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr98ARSEgtmfQ12lDTSPeVyt7rEdaFu5BhDM32Y-DaiA&s=10
BEBIDAS,RUM BACARDI CARTA OURO,"51,7",980ML | Pedido Mínimo: 3 un.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3bkY6GQFjPnl-4oB8ryrVmUz_LVZEOoO5sZWfFl0IRA&s=10
BEBIDAS,RUM MONTILLA CARTA OURO,"29,9",1L | Pedido Mínimo: 3 un.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyFXyrUk0--hErGb6BD2wQCuZa5iK0uBkRgiHqYmu0FXyYqe77xG_ZhhDD&s=10
BEBIDAS,VINHO CANCAO TINTO SUAVE,"12,9",750ML | Pedido Mínimo: 3 un.,https://cdn.awsli.com.br/600x700/1775/1775051/produto/210231987/7896780900196-vcfldw.jpg
BEBIDAS,VINHO PERGOLA BRANCO SUAVE,"23,9",1L | Pedido Mínimo: 3 un.,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw92291b98/Produtos/1024310-7896855901431-vinho%20nacional%20pergola%20branco%20suave%201l-pergola-1.jpg
BEBIDAS,VINHO PERGOLA  TINTO SUAVE,"24,9",1L | Pedido Mínimo: 3 un.,https://www.imigrantesbebidas.com.br/bebida/images/products/full/7633-vinho-pergola-tinto-suave-1l.jpg
BEBIDAS,VINHO CANTINA DA SERRA TINTO SV,"13,15","1,5L | Pedido Mínimo: 3 un.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaZfhOBcMCEXD4HQyVJd_BkJNAjhY76ppBt5rxOIbV4g&s=10
